Name,Card type,Cost,Upgraded cost,Map,Description,Upgraded description
The Tower,Skill,1 ammo,1 ammo,Heroes,Gain 8 armor at the start of your next turn. Takes effect immediately if The Fool is in your hand.,Gain 12 armor at the start of your next turn. Takes effect immediately if The Fool is in your hand.
The Lovers,Skill,1 ammo,NA,Heroes,"Choose an enemy. Until the start of your next turn, whenever you lose HP, deal damage equal to 2x HP lost that way to that enemy.","Choose an enemy. Until the start of your next turn, whenever you lose HP, deal damage equal to 2x HP lost that way to that enemy."
The Empress,Skill,1 ammo,NA,Heroes,Draw 1 card. Select 1 card from draw pile and add to hand instead if The Fool is in your hand.,Draw 1 card. Select 1 card from draw pile and add to hand instead if The Fool is in your hand.
Bear Tricks,Skill,1 ammo,1 ammo,Heroes,"Gain 6 armor. If your HP is below 50%, gain 1 Dodge.","Gain 9 armor. If your HP is below 50%, gain 1 Dodge."
Wild,Skill,1 ammo,1 ammo,Heroes,"Until your next turn, reduce 50% damage from attacks, and increase damage and armor effect of bear by 3. Removed.","Until your next turn, reduce 50% damage from attacks, and increase damage and armor effect of bear by 3."
Command,Skill,1 ammo,NA,Heroes,Command the bear to act. Increase its damage and armor effect by 2. This card will be removed at the end of your turn. Removed.,Command the bear to act. This card will be removed at the end of your turn. Removed.
Specter Ammo,Skill,NA,NA,Heroes,"Reload 1, or deals 3 damage to enemy. Deals 7 damage when you are Ignited.","Reload 2, or deals 5 damage to enemy. Deals 9 damage when you are Ignited."
Specter Shield,Skill,1 ammo,1 ammo,Heroes,Get 7 armor. Get 11 armor when you are Ignited.,Get 10 armor. Get 14 armor when you are Ignited.
Soul Charge,Skill,1 ammo,1 ammo,Heroes,"Draw 1 card, draw 2 cards when you are Ignited","Draw 2 cards, draw 2 cards when you are Ignited"
Ignite,Skill,NA,NA,Heroes,"Become Ignited this turn, or deals 5 damage to enemy. Deals 9 damage when you are Ignited.","Become Ignited this turn, or deals 8 damage to enemy. Deals 12 damage when you are Ignited."
Last Order,Skill,NA,NA,Heroes,Reload to max and -2 HP for each ammo reloaded in this way. Become Ignited this turn. Removed.,Reload to max and -1 HP for each ammo reloaded in this way. Become Ignited this turn.
Revival Reload,Skill,NA,NA,Heroes,"Reload 1. If you have no armor, reload 2.","Reload 2. If you have no armor, reload 3."
Absolution,Skill,1 ammo,1 ammo,Heroes,"Get 8 armor, costs 1 less ammo if you have no armor.","Get 11 armor, costs 1 less ammo if you have no armor."
Fire Purification,Skill,1 ammo,1 ammo,Heroes,Discard 1 card. Deal damage equal to your armor to a random enemy.,Discard 1 card. Deal damage equal to your armor.
Death Ritual,Skill,1 ammo,1 ammo,Heroes,The enemy loses 20% max HP (max 30). Removed.,The enemy loses 20% max HP (max 40). Removed.
Broken Egg,Skill,NA,NA,Heroes,Reload 1. Get 1 Rage when you are Combative.,Reload 2. Get 1 Rage when you are Combative.
Wingbeats,Skill,1 ammo,1 ammo,Heroes,Deals 8 damage to a random enemy. Deal 8 damage to all enemies instead when you are Combative.,Deals 12 damage to a random enemy. Deal 12 damage to all enemies instead when you are Combative.
Chaos Bringer,Skill,NA,NA,Heroes,Applies random condition x2 to all characters. Removed.,Applies random condition x2 to all characters.
Cursed by Nature,Skill,1 ammo,1 ammo,Heroes,Gain 6 armor + 1 armor per Curse in your deck.,Gain 9 armor + 1 armor per Curse in your deck.
Bringer of Calamity,Skill,1 ammo,1 ammo,Heroes,Deals 7 damage + 2 damage per Curse in your deck.,Deals 11 damage + 2 damage per Curse in your deck.
Clipping,Skill,NA,NA,Heroes,"Discard all curses from your hand, then draw X cards.","Discard all curses from your hand, then draw X+1 cards."
Holy Water,Skill,3 ammo,2 ammo,Other,Consumable. Heal to full HP.,Consumable. Heal to full HP.
Hurricane,Skill,NA,NA,Other,Consumable. Deals 12 damage to all enemies.,Consumable. Deals 20 damage to all enemies.
Tentacles,Skill,NA,NA,Other,Consumable. Deals 20 damage.,Consumable. Deals 40 damage.
Harvest,Skill,NA,NA,Other,Consumable. Heal 20.,Consumable. Heal 40.
Meteorite,Skill,NA,NA,Other,Consumable. Deals 10 damage. Stun the enemy.,Consumable. Deals 15 damage. Stun the enemy.
Volcano,Skill,2 ammo,2 ammo,Other,Consumable. Deals 15 damage to all enemies and stun them.,Consumable. Deals 20 damage to all enemies and stun them.
Song of the Dead,Skill,1 ammo,NA,Heroes,Consumable. Target loses 50% max HP. (Musician),Consumable. Target loses 50% max HP. (Musician)
Rock,Skill,1 ammo,1 ammo,Packages,+3 melee damage this turn.,+5 melee damage this turn.
Collect Bomb,Skill,NA,NA,Packages,"Reload 1. If you have no ammo, reload 2 instead.","Reload 1. If you have no ammo, reload 3 instead."
Fervor,Skill,NA,NA,Packages,+5 attack damage this turn. Lose 20 HP at end of turn.,+7 attack damage this turn. Lose 20 HP at end of turn.
Bide,Skill,1 ammo,1 ammo,Packages,Lose 5 HP. +5 attack damage your next turn.,Lose 7 HP. +7 attack damage your next turn.
Thorn Armor,Skill,1 ammo,1 ammo,Packages,"Until your next turn, enemies who attack you get 5 Injury,","Until your next turn, enemies who attack you get 7 Injury."
Bear Trap,Skill,1 ammo,1 ammo,Packages,Applies 5 Injury. Double effect against targets with less than 50% HP remaining.,Applies 7 Injury. Double effect against targets with less than 50% HP remaining.
Craft Brew,Skill,1 ammo,1 ammo,Packages,Get 1 Drunk. +3 attack damage this turn.,Get 3 Drunk. +3 attack damage this turn.
Red Barrel,Skill,1 ammo,1 ammo,Packages,5 HP. Summon 1 Red Barrel. Deathrattle: Deal 15 damage to adjacent enemies.,3 HP. Summon 1 Red Barrel. Deathrattle: Deal 20 damage to adjacent enemies.
Thorn Barrel,Skill,1 ammo,1 ammo,Packages,"20 HP. Summon 1 Thorn Barrel. When it is attacked, apply 3 Injury to adjacent enemies. Deathrattle: Apply 6 Injury to adjacent enemies. Removed.","20 HP. Summon 1 Thorn Barrel. When it is attacked, apply 3 Injury to adjacent enemies. Deathrattle: Apply 6 Injury to adjacent enemies. Removed."
Violent Strike,Skill,1 ammo,NA,Packages,Knocks back and Stun the enemy. Removed.,Knocks back and Stun the enemy. Removed.
Throwing Anchor,Skill,1 ammo,NA,Packages,Knocks back the target with HP above 50%. Grabs the target with HP below 50% towards you. Removed.,Knocks back the target with HP above 50%. Grabs the target with HP below 50% towards you. Removed.
Catch,Skill,NA,NA,Packages,Grabs the target towards you. Draw 1 card. Removed.,Grabs the target towards you. Draw 1 card. Removed.
Pyrotechnics,Skill,1 ammo,1 ammo,Packages,Deal 6 damage to all enemies without a condition and apply 1 Blind to them.,Deal 9 damage to all enemies without a condition and apply 1 Blind to them.
Fireworks Barrel,Skill,1 ammo,1 ammo,Packages,"3 HP. Summon 1 Fireworks Barrel. Deathrattle: Deal 3 damage 6 times to random adjacent enemies, deal double damage to Blind enemies.","3 HP. Summon 1 Fireworks Barrel. Deathrattle: Deal 4 damage 6 times to random adjacent enemies, deal double damage to Blind enemies."
Great Banana,Skill,NA,NA,Packages,Unplayable. Heal 1 whenever you play a card if this is in your hand.,Unplayable. Heal 2 whenever you play a card if this is in your hand.
Epic Throw,Skill,NA,NA,Packages,Unplayable. +1 attack damage for the rest of the battle when discarded by other cards or relics.,Unplayable. +2 attack damage for the rest of the battle when discarded by other cards or relics.
Bravery,Skill,NA,NA,Packages,Unplayable. +1 attack damage.,Unplayable. +1 attack damage. +5 max HP.
Thirst of Mark,Skill,1 ammo,NA,Packages,Discard 1 and applies Mark x1.,Discard 1 and applies Mark x1.
Sapphire,Skill,NA,NA,Other,Consumable. Draw 2 cards.,Consumable. Draw until your hand is full.
Emerald,Skill,NA,NA,Other,Consumable. Heal 25.,Consumable. Heal to full HP.
Ruby,Skill,NA,NA,Other,Consumable. +2 attack damage.,Consumable. +5 attack damage.
Deserter,Curse,NA,NA,Other,Unplayable. -1 max ammo when this is in your deck.,NA
Plague,Curse,NA,NA,Other,Unplayable. Lose all ammo when you draw this.,NA
Handcuff,Curse,NA,NA,Other,Unplayable.,NA
Spoil,Curse,NA,NA,Other,Unplayable. Lose 2 HP at end of your turn.,NA
Wetness,Curse,NA,NA,Other,Unplayable. Lose 1 ammo when you draw this.,NA
Bind,Curse,NA,NA,Other,Unplayable. Gain Weakened x1 at end of your turn.,NA
Urchins,Curse,NA,NA,Other,Unplayable. Take 7 damage whe you draw this. Remove this at end of turn.,NA
Rotted Wood,Curse,NA,NA,Other,Unplayable. Remove this at end of turn.,NA
Repression,Curse,NA,NA,Other,Unplayable. Take 2 damage whenever you use an attack card if this is in your hand.,NA
Drown,Curse,NA,NA,Other,Unplayable. Take 2 damage whenever you use a skill card if this is in your hand.,NA
The Fool,Curse,NA,NA,Heroes,Unplayable. Lose 3 HP at end of your turn. Can't be removed from deck.,NA
Mutate,Curse,NA,NA,Heroes,Unplayable. -7 max HP.,NA
Chain,Curse,NA,NA,Other,Unplayable. Can't play attack cards if this is in your hand. Remove this at end of turn.,NA
Poisoned,Curse,NA,NA,Other,"Unplayable. Whenever you draw an extra card, lose 3 HP if this is in your hand.",NA
Skeleton Claw,Melee,NA,NA,Skulls Island,Deals 7 damage. Critical hit to humans.,Deals 10 damage. Critical hit to humans.
Bet the House,Melee,NA,NA,Skulls Island,"Discard your hand, dealing 8 damage per card discarded this way.","Discard your hand, dealing 10 damage per card discarded this way."
Power Strike,Melee,NA,NA,Skulls Island,Deals 7 damage and draw a card if your HP is below 50%.,Deals 10 damage and draw a card if your HP is below 50%.
Dagger,Melee,NA,NA,Skulls Island,"Deals 10 damage. The further away the enemy, the less damage this deals.","Deals 14 damage. The further away the enemy, the less damage this deals."
Piercing Blade,Melee,NA,NA,Skulls Island,Deals 5 damage. Penetration. Critical hit on enemies without armor.,Deals 8 damage. Penetration. Critical hit on enemies without armor.
Wrestle,Melee,NA,NA,Skulls Island,Deals 6 damage. Draw a card if target is human.,Deals 9 damage. Draw a card if target is human.
Silver Dagger,Melee,NA,NA,Skulls Island,Deals 6 damage. Draw a card if target is undead.,Deals 9 damage. Draw a card if target is undead.
Close Combat,Melee,NA,NA,Skulls Island,Deals 8 damage. Can only be used if there is no ranged card in your hand.,Deals 11 damage. Can only be used if there is no ranged card in your hand.
Boomerang,Melee,NA,NA,Skulls Island,"Deals 6 damage. If an enemy is killed this way, return this to your hand.","Deals 9 damage. If an enemy is killed this way, return this to your hand."
Legendary Sword,Melee,NA,NA,Skulls Island,Deals 8 damage. Penetration. 100% Lifesteal. Removed.,Deals 12 damage. Penetration. 100% Lifesteal. Removed.
Death Mark,Ranged,1 ammo,1 ammo,Skulls Island,Deals 5 damage and applies Mark x1 if target is undead.,Deals 5 damage and applies Mark x2 if target is undead.
Silver Shot,Ranged,1 ammo,1 ammo,Skulls Island,Deals 6 damage. Critical hit to undead.,Deals 9 damage. Critical hit to undead.
Draining Shot,Ranged,1 ammo,1 ammo,Skulls Island,Deals 10 damage. Adds a Bind to your hand.,Deals 14 damage. Adds a Bind to your hand.
Back Against Wall,Ranged,1 ammo,1 ammo,Skulls Island,Deals 6 damage + 5 damage per Curse in your hand.,Deals 6 damage + 8 damage per Curse in your hand.
Counter,Ranged,1 ammo,1 ammo,Skulls Island,"Deals 7 damage, critical hit if your HP is below 50%.","Deals 10 damage, critical hit if your HP is below 50%."
Pursuit,Ranged,1 ammo,1 ammo,Skulls Island,"Deals 7 damage, critical hit to enemies with HP below 50%.","Deals 10 damage, critical hit to enemies with HP below 50%."
Cannon Fire,Ranged,4 ammo,4 ammo,Skulls Island,Deals 40 damage.,Deals 50 damage.
Snipe,Ranged,1 ammo,1 ammo,Skulls Island,"Deals 6 damage. The further away the enemy, the more damage this deals.","Deals 9 damage. The further away the enemy, the more damage this deals."
Final Move,Ranged,2 ammo,2 ammo,Skulls Island,Deals 12 damage. Critical hit if your hand is empty.,Deals 16 damage. Critical hit if your hand is empty.
Undead Killer,Ranged,1 ammo,1 ammo,Skulls Island,Deals 8 damage. Remove this if target is not undead.,Deals 12 damage. Remove this if target is not undead.
Emergency Supplies,Skill,NA,NA,Skulls Island,"Reload 1, or reload to max if you have less than 10 HP.","Reload 1, or reload to max if you have less than 15 HP."
Auto Shield,Skill,NA,NA,Skulls Island,Unplayable. Gain 8 armor and return this to hand when discarded by other cards or relics.,Unplayable. Gain 12 armor and return this to hand when discarded by other cards or relics.
Old Shield,Skill,NA,NA,Skulls Island,Lose 4 HP and gain 12 armor.,Lose 4 HP and gain 15 armor.
Makeshift Armor,Skill,2 ammo,2 ammo,Skulls Island,Gain Rage x2 and 8 armor.,Gain Rage x3 and 10 armor.
Hide,Skill,2 ammo,2 ammo,Skulls Island,Gain Immunity x2 and 10 armor.,Gain Immunity x3 and 12 armor.
Card Magic - Gun,Skill,NA,NA,Skulls Island,"Draw 3 cards, then discard all non-ranged cards in hand.","Draw until your hand is full, then discard all non-ranged cards in hand."
Card Magic - Sword,Skill,2 ammo,2 ammo,Skulls Island,"Draw 3 cards, then discard all non-melee cards in hand.","Draw until your hand is full, then discard all non-melee cards in hand."
First Aid,Skill,1 ammo,1 ammo,Skulls Island,"Heal 5, then heal 5 more if target HP is below 50%.","Heal 7, then heal 7 more if target HP is below 50%."
Feast,Skill,2 ammo,2 ammo,Skulls Island,Heal 8 and applies Immunity x3. Removed.,Heal 12 and applies Immunity x4. Removed.
Hit and Run,Skill,2 ammo,1 ammo,Skulls Island,Gain Dodge x1 whenever you use a melee card this turn.,Gain Dodge x1 whenever you use a melee card this turn.
Recycle Ammo,Skill,NA,NA,Skulls Island,Unplayable. Reload 1 when you draw this card. Reload 1 when discarded by other cards or relics.,Unplayable. Reload 2 when you draw this card. Reload 2 when discarded by other cards or relics.
Banana Rain,Skill,2 ammo,2 ammo,Skulls Island,All characters heal 10. Removed.,All characters heal 15. Removed.
Food Reserve,Skill,2 ammo,1 ammo,Skulls Island,Lose all armor and heal equal to armor lost this way.,Lose all armor and heal equal to armor lost this way.
Fruit Basket,Skill,X ammo,X ammo,Skulls Island,Lose all ammo and heal 4 x X.,Lose all ammo and heal 6 x X.
Break Out,Skill,1 ammo,1 ammo,Skulls Island,Gain 3 armor per enemy alive.,Gain 5 armor per enemy alive.
Blind Bones,Skill,NA,NA,Skulls Island,Applies Blind x1 to all undead.,Applies Blind x2 to all undead.
Accelerate,Skill,2 ammo,1 ammo,Skulls Island,Gain Dodge x1 per enemy alive.,Gain Dodge x1 per enemy alive.
Lengthen Barrel,Skill,NA,NA,Skulls Island,Unplayable. +4 to all ranged damage if this is in your hand.,Unplayable. +6 to all ranged damage if this is in your hand.
Powerful Arms,Skill,NA,NA,Skulls Island,Unplayable. +4 to all melee damage if this is in your hand.,Unplayable. +6 to all melee damage if this is in your hand.
Rotten Bananas,Skill,1 ammo,1 ammo,Skulls Island,"Heal 6. If target is yourself, remove this.","Heal 9. If target is yourself, remove this."
Multi-tool,Skill,1 ammo,1 ammo,Skulls Island,Choose a card from your draw pile and add it to your hand. Removed.,Choose a card from your draw pile and add it to your hand.
Prepare for Battle,Skill,NA,NA,Skulls Island,Draw a card and reload 1 if it is a ranged card.,Draw a card and reload 2 if it is a ranged card.
Roulette Game,Skill,1 ammo,1 ammo,Skulls Island,Applies Mark x1 to a random enemy. Removed.,Applies Mark x1 to a random enemy.
Restart,Skill,1 ammo,1 ammo,Skulls Island,"Shuffle your discard pile into your draw pile, then draw 2 cards. Removed.","Shuffle your discard pile into your draw pile, then draw 2 cards."
Moldy Cheese,Skill,1 ammo,1 ammo,Skulls Island,Heal 1-10. Removed.,Heal 5-15. Removed.
Fish Barrel,Skill,NA,NA,Skulls Island,Consumable. All characters heal 20.,Consumable. All characters heal 30.
Doppelganger,Skill,NA,NA,Skulls Island,"Consumable. If your HP becomes 0 before your next turn, revive and heal 25% of HP.","Consumable. If your HP becomes 0 before your next turn, revive and heal to full HP."
Fishbone,Curse,NA,NA,Skulls Island,Unplayable. Can't get any healing (can't revive when HP becomes 0) if this is in your hand.,NA
Decompose,Curse,NA,NA,Skulls Island,Unplayable. Lose all armor when you draw this.,NA
Chronic Illness,Curse,NA,NA,Skulls Island,Unplayable. -5 max HP. Remains in deck after battle.,NA
Betray,Curse,NA,NA,Skulls Island,Unplayable. +1 to all enemy attack damage when you draw this.,NA
Flail,Melee,NA,NA,Souls Rift,"Deals 7 damage. If all armor on target is removed this way, deals 7 damage to all enemies.","Deals 9 damage. If all armor on target is removed this way, deals 9 damage to all enemies."
Soul Cleave,Melee,NA,NA,Souls Rift,Deals 6 damage. Critical hit to specters.,Deals 9 damage. Critical hit to specters.
Anchor Swing,Melee,NA,NA,Souls Rift,Deals 8 damage and knocks back enemies with HP above 50%.,Deals 12 damage and knocks back enemies with HP above 50%.
Holy Sword,Melee,NA,NA,Souls Rift,Deals 50 damage. Can only be used if you have no armor and less than 15 HP.,Deals 70 damage. Can only be used if you have no armor and less than 15 HP.
Ghost Hunter,Ranged,2 ammo,2 ammo,Souls Rift,Deals 12 damage. Critical hit to specters.,Deals 15 damage. Critical hit to specters.
Soul Blast,Ranged,3 ammo,3 ammo,Souls Rift,Deals 16 damage and gain 50% Lifesteal if target is human.,Deals 20 damage and gain 50% Lifesteal if target is human.
Soul Bomb,Ranged,1 ammo,1 ammo,Souls Rift,Deals 7 damage. Deals 7 damage to all enemies if discarded by other cards or relics.,Deals 10 damage. Deals 10 damage to all enemies if discarded by other cards or relics.
Lucky Shot,Ranged,2 ammo,2 ammo,Souls Rift,"Deals 5 damage 2 times, 50% chance for critical hit.","Deals 7 damage 2 times, 50% chance for critical hit."
Sneak Attack,Ranged,1 ammo,1 ammo,Souls Rift,Deals 7 damage. Critical hit if target does not attempt to attack this turn.,Deals 10 damage. Critical hit if target does not attempt to attack this turn.
Heavy Cannon,Ranged,1 ammo,1 ammo,Souls Rift,Deals 3 damage. Increases this card's damage this journey by 2. Removed.,Deals 3 damage. Increases this card's damage this journey by 3. Removed.
Ceremonial Dagger,Skill,NA,NA,Souls Rift,Reload 1 whenever you use a melee card this turn. Removed.,Reload 1 whenever you use a melee card this turn.
Enchanted Ammo,Skill,NA,NA,Souls Rift,"Reload 1. If you have a curse in your hand, reload 2 instead.","Reload 1. If you have a curse in your hand, reload to max instead."
Specter Claw,Skill,1 ammo,1 ammo,Souls Rift,Deals 8 damage.,Deals 12 damage.
Soul Fire,Skill,NA,NA,Souls Rift,Deals 3 damage. Draw a card.,Deals 6 damage. Draw a card.
Wrap,Skill,1 ammo,1 ammo,Souls Rift,Deals 6 damage and applies Weakened x1.,Deals 8 damage and applies Weakened x2.
Ink Shot,Skill,2 ammo,2 ammo,Souls Rift,Deals 12 damage and applies Blind x1.,Deals 16 damage and applies Blind x2.
Sorcery Attack,Skill,1 ammo,1 ammo,Souls Rift,Deals damage equal to HP lost (max 12).,Deals damage equal to HP lost (max 18).
Sorcery Defense,Skill,2 ammo,2 ammo,Souls Rift,Gain armor equal to HP lost (max 16).,Gain armor equal to HP lost (max 22).
Rapid Pace,Skill,1 ammo,1 ammo,Souls Rift,Deals 7 damage and gain Dodge x1 if your HP is below 50%.,Deals 10 damage and gain Dodge x1.
Forbidden Magic,Skill,1 ammo,1 ammo,Souls Rift,Deals damage equal to 25% of your HP.,Deals damage equal to 40% of your HP.
Fall Into Water,Skill,1 ammo,1 ammo,Souls Rift,Deals 15 damage and adds 2 Handcuff to your draw pile.,Deals 21 damage and adds 2 Handcuff to your draw pile.
Snatch Soul,Skill,1 ammo,NA,Souls Rift,Grabs an enemy towards you twice.,Grabs an enemy towards you twice.
Venomous Snake,Skill,2 ammo,2 ammo,Souls Rift,Applies Injury equal to target's armor (max 15). Removed.,Applies Injury equal to target's armor (max 20). Removed.
Awaken,Skill,1 ammo,1 ammo,Souls Rift,Deals 2 damage to a random target 15 times.,Deals 3 damage to a random target 15 times.
Bully,Skill,1 ammo,NA,Souls Rift,"If your armor is higher than that of an enemy, remove all armor from it and deals damage to it equal to armor lost this way.","If your armor is higher than that of an enemy, remove all armor from it and deals damage to it equal to armor lost this way."
The Best Defense…,Skill,1 ammo,1 ammo,Souls Rift,Gain 4 armor whenever you use an attack card this turn.,Gain 6 armor whenever you use an attack card this turn.
Exorcize,Skill,2 ammo,2 ammo,Souls Rift,Deals 15 damage and remove all conditions from the target.,Deals 20 damage and remove all conditions from the target.
Extract Soul,Skill,2 ammo,2 ammo,Souls Rift,Deals 12 damage to all enemies and removes all conditions.,Deals 16 damage to all enemies and removes all conditions.
Sink,Skill,3 ammo,3 ammo,Souls Rift,Deals 20 damage. -1 ammo cost per 20 HP lost.,Deals 26 damage. -1 ammo cost per 20 HP lost.
Ancient Potion,Skill,NA,NA,Souls Rift,Heal 3 whenever you use a skill card this turn. Removed.,Heal 5 whenever you use a skill card this turn. Removed.
Sleight of Hand,Skill,NA,NA,Souls Rift,Transforms a Curse into a random card. Removed.,Transforms a Curse into a random upgraded card. Removed.
Great Wave,Skill,3 ammo,3 ammo,Souls Rift,Deals 15 damage. -1 ammo cost to this card for the rest of battle.,Deals 20 damage. -1 ammo cost to this card for the rest of battle.
Reinforce,Skill,2 ammo,2 ammo,Souls Rift,Doubles your armor. Removed.,Doubles your armor.
Lightning Major,Skill,3 ammo,3 ammo,Souls Rift,Deals 12 damage to all enemies adds 2 Lightning Minor to your hand.,Deals 15 damage to all enemies adds 2 upgraded Lightning Minor to your hand.
Lightning Minor,Skill,NA,NA,Souls Rift,Deals 5 damage. Removed.,Deals 7 damage. Removed.
Surprise Present,Skill,1 ammo,NA,Souls Rift,Fills your hand with random upgraded cards. Removed.,Fills your hand with random upgraded cards. Removed.
Magic Hammer,Skill,2 ammo,1 ammo,Souls Rift,Upgrades all skill cards in deck. Removed.,Upgrades all skill cards in deck. Removed.
Nether Light,Skill,2 ammo,1 ammo,Souls Rift,Applies Mark x1 to all specter enemies.,Applies Mark x1 to all specter enemies.
Shortcut,Skill,1 ammo,NA,Souls Rift,-1 ammo cost to all skill cards in hand this turn.,-1 ammo cost to all skill cards in hand this turn.
Assistant,Skill,1 ammo,1 ammo,Souls Rift,Draw cards until you draw an attack card or your draw pile is empty.,Draw cards until you draw an attack card or your draw pile is empty.
Endure,Skill,NA,NA,Souls Rift,Adds 1 Erupt into draw pile. Removed.,Adds 1 upgraded Erupt into draw pile. Removed.
Erupt,Skill,1 ammo,NA,Souls Rift,Deals damage equal to the HP you have lost since you've used Endure. Removed.,Deals damage equal to the HP you have lost since you've used Endure. Removed.
Horned Shield,Skill,2 ammo,2 ammo,Souls Rift,"Gains 8 armor. Until the start of your next turn, whenever you are attacked, deal 3 damage to the attacker.","Gains 8 armor. Until the start of your next turn, whenever you are attacked, deal 5 damage to the attacker."
Armistice,Skill,-10 health,NA,Souls Rift,Consumable. Ends a non-boss battle.,Consumable. Ends a non-boss battle.
Magic Sandglass,Skill,1 ammo,NA,Souls Rift,Consumable. Stop all enemies' action for 1 turn.,Consumable. Stop all enemies' action for 1 turn.
Decay,Curse,NA,NA,Souls Rift,Unplayable. Gain Mark x1 when you draw this.,NA
Parasite,Curse,NA,NA,Souls Rift,Unplayable. Take 5 damage per ammo remaining at end of turn.,NA
Flaw,Curse,NA,NA,Souls Rift,Can be played. All enemies get +2 damage. Removed.,NA
Voodoo,Curse,NA,NA,Souls Rift,Unplayable. Stay.,NA
Dart Barrage,Melee,NA,NA,Lost Islands,Deals 4 damage. 50% chance to attack again (max 7 times).,Deals 6 damage. 50% chance to attack again (max 7 times).
Blind Charge,Melee,NA,NA,Lost Islands,Deal damage to all enemies equal to your armor. Lose all armor.,Deal damage to all enemies equal to your armor. Lose 50% armor.
Steal Shield,Melee,NA,NA,Lost Islands,Deals 6 damage. Gain armor equal to the amount of armor reduced this way.,Deals 9 damage. Gain armor equal to the amount of armor reduced this way.
Poison Cone,Melee,NA,NA,Lost Islands,Deals 6 damage. Applies 6 Injury to Monster.,Deals 8 damage. Applies 8 Injury to Monster.
Headlong Bash,Melee,NA,NA,Lost Islands,Chance. 75%: Deals 6 damage and applies 1 Mark. 25%: Deals 6 damage and gain 1 Mark.,Chance. 75%: Deals 9 damage and applies 1 Mark. 25%: Deals 9 damage and gain 1 Mark.
Execute,Melee,NA,NA,Lost Islands,Deals 6 damage. Critical hit to enemies with lower HP than you.,Deals 9 damage. Critical hit to enemies with lower HP than you.
Lash,Melee,NA,NA,Lost Islands,Deals 13 damage. Discard 1 random card.,Deals 16 damage. Discard 1 random card.
Bone Spear,Melee,NA,NA,Lost Islands,Deals 6 damage. Critical hit to enemies with Weakened. Applies 1 Weakened against enemies without Weakened.,Deals 8 damage. Critical hit to enemies with Weakened. Applies 2 Weakened against enemies without Weakened.
Dinner Time,Melee,NA,NA,Lost Islands,Deals 6 damage. 50% Lifesteal if you have less than 50% HP.,Deals 10 damage. 50% Lifesteal if you have less than 50% HP.
Rope Knife,Melee,NA,NA,Lost Islands,Deals 8 damage. Shuffle this into your draw pile.,Deals 12 damage. Shuffle this into your draw pile.
Rapid Fire,Ranged,1 ammo,1 ammo,Lost Islands,Deals 1 damage 6 times.,Deals 1 damage 7 times.
Improvised Bomb,Ranged,1 ammo,1 ammo,Lost Islands,Deals 12 damage. Gain 3 Injury.,Deals 15 damage. Gain 3 Injury.
Dynamite,Ranged,2 ammo,2 ammo,Lost Islands,Deals 18 damage. Remove this card if it is in your hand at end of turn.,Deals 22 damage. Remove this card if it is in your hand at end of turn.
Throw Web,Ranged,1 ammo,1 ammo,Lost Islands,"Deals 6 damage. If target is a Monster, apply Stun. Removed.","Deals 9 damage. If target is a Monster, apply Stun. Removed."
Arrow Rain,Ranged,2 ammo,2 ammo,Lost Islands,Deals 8 damage to all enemies. Crit if there are exactly 3 enemies.,Deals 10 damage to all enemies. Crit if there are exactly 3 enemies.
Lock-On,Ranged,1 ammo,1 ammo,Lost Islands,Deals 6 damage. Critical hits deal 300% damage instead of 200%.,Deals 9 damage. Critical hits deal 300% damage instead of 200%.
Octopus Express,Ranged,3 ammo,3 ammo,Lost Islands,"Deals 12 damage. If this card kills an enemy, permanently reduce ammo cost by 1. Removed.","Deals 15 damage. If this card kills an enemy, permanently reduce ammo cost by 1. Removed."
Throw Rock,Ranged,2 ammo,2 ammo,Lost Islands,Deals 12 damage and knocks back the target. Critical hit to Heavy enemies.,Deals 15 damage and knocks back the target. Critical hit to Heavy enemies.
Recoiling Gun,Ranged,3 ammo,3 ammo,Lost Islands,Deals 32 damage. Take 5 damage if this does not kill an enemy.,Deals 38 damage. Take 5 damage if this does not kill an enemy.
Explosive Trap,Ranged,2 ammo,2 ammo,Lost Islands,Deals 8 damage to all enemies and applies 2 Weakened.,Deals 11 damage to all enemies and applies 2 Weakened.
Spike Bomb,Ranged,1 ammo,1 ammo,Lost Islands,Deals 6 damage. Applies 4 Injury on critical hit.,Deals 7 damage. Applies 4 Injury on critical hit.
Pearl Mussel,Skill,1 ammo,NA,Lost Islands,+1 max ammo (max 9). Removed.,+1 max ammo (max 9). Removed.
Eye for an Eye,Skill,1 ammo,1 ammo,Lost Islands,"Until your next turn, enemies that deal attack damage to you take equal damage. Removed.","Until your next turn, enemies that deal attack damage to you take equal damage."
Kraken Attack,Skill,2 ammo,2 ammo,Lost Islands,Deals 15 damage to all enemies with Weakened. Applies 1 Weakened against enemies without Weakened.,Deals 18 damage to all enemies with Weakened. Applies 2 Weakened against enemies without Weakened.
Poisoned Banana,Skill,1 ammo,1 ammo,Lost Islands,Heal 10. Add 1 Handcuff to your draw pile. Removed.,Heal 13. Add 1 Handcuff to your draw pile. Removed.
Purify,Skill,1 ammo,NA,Lost Islands,Remove all curses from your hand. +1 attack damage this battle for each card removed this way. Removed.,Remove all curses from your hand. +1 attack damage this battle for each card removed this way. Removed.
Dilemma,Skill,NA,NA,Lost Islands,Remove 1 random card and reload 1. Removed.,Remove 1 card and reload 1. Removed.
